City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
147,putyatino,0,RU,1556678586,72,54.16,41.12,38.89,4.0
148,saldanha,0,PT,1556678586,70,41.42,-6.55,53.79,4.36
149,faanui,74,PF,1556678586,77,-16.48,-151.75,82.39,27.98
150,matadi,56,CD,1556678587,98,-5.83,13.46,74.46,2.59
151,diffa,85,NE,1556678587,5,13.32,12.61,85.53,8.7
152,bodden town,20,KY,1556677804,83,19.28,-81.25,80.6,9.17
153,pachora,21,IN,1556678587,19,20.66,75.35,90.33,8.79
154,dahra,0,DZ,1556676000,51,36.25,0.85,59.0,5.82
155,mahebourg,40,MU,1556676000,57,-20.41,57.7,75.2,11.41
156,severo-kurilsk,0,RU,1556678588,81,50.68,156.12,36.64,12.44
157,mehamn,99,NO,1556678589,73,71.03,27.85,25.95,12.75
158,walvis bay,0,NA,1556676132,82,-22.95,14.51,57.0,6.93
159,santa cruz,1,US,1556678469,58,36.97,-122.03,62.01,8.05
160,monte patria,0,CL,1556678591,30,-30.69,-70.96,62.38,2.55
161,alingsas,90,SE,1556678573,93,57.93,12.53,51.8,5.82
162,bougouni,100,ML,1556678591,61,11.42,-7.49,83.65,13.09
163,alizai,20,PK,1556676000,56,33.94,71.55,69.8,4.7
164,lompoc,90,US,1556678284,67,34.64,-120.46,61.0,10.29
165,atuona,94,PF,1556678430,74,-9.8,-139.03,82.84,12.75
166,arraial do cabo,20,BR,1556676000,78,-22.97,-42.02,73.4,4.7
167,cutcut,75,PH,1556676000,62,15.47,120.67,89.6,6.93
168,sloboda,0,RU,1556678593,78,57.03,59.56,29.42,6.44
169,omboue,100,GA,1556678593,83,-1.57,9.26,81.4,8.99
170,manokwari,100,ID,1556678593,75,-0.87,134.08,78.58,5.35
171,los llanos de aridane,0,ES,1556678417,82,28.66,-17.92,64.4,14.99
172,yerbogachen,99,RU,1556678593,74,61.28,108.01,39.19,5.57
173,butiama,100,TZ,1556678594,82,-1.77,33.97,68.75,6.67
174,patna,40,IN,1556676000,74,25.61,85.12,84.2,4.7
175,lagoa,0,PT,1556678512,72,37.14,-8.45,66.99,1.12
176,port lincoln,100,AU,1556678594,67,-34.72,135.86,60.87,25.88
177,touros,20,BR,1556676000,100,-5.2,-35.46,77.0,3.36
178,terrace bay,100,CA,1556678582,62,48.78,-87.1,32.93,4.34
179,port hedland,27,AU,1556676000,20,-20.31,118.58,84.2,14.99
180,kizilskoye,27,RU,1556678595,52,52.73,58.89,36.24,9.48
181,honiara,20,SB,1556676000,75,-9.43,159.96,89.6,6.93
